epoch,train_loss,train_acc,train_p,train_r,train_f1,test_loss,test_acc,test_p,test_r,test_f1,bad_train_gifs,bad_test_gifs,train_chunks,test_chunks
1,1.3247896808792243,0.5093552465233881,0.5088150491117062,0.508263642505451,0.5065730054814881,2.3176620476173633,0.2627589691763517,0.28252310749697623,0.26368015658271937,0.2612885817364744,0,0,7910,1979
2,0.22238996545219739,0.9371681415929204,0.936897406539831,0.9369224808114414,0.9368979320253185,2.9012939514535847,0.26225366346639717,0.2608581806064139,0.2617593781478586,0.2579033378565225,0,0,7910,1979
3,0.08271845583592287,0.977370417193426,0.9774722936592387,0.9773406484435726,0.9773964333443264,3.1738184094429016,0.24204143506821627,0.2428850986395863,0.24146777876079417,0.23947238056981823,0,0,7910,1979
4,0.07920582844191372,0.9747155499367889,0.974683809670067,0.974891218746363,0.9747689915491227,3.40543769345139,0.2248610409297625,0.24628812365405736,0.22329843290358248,0.22307869458633572,0,0,7910,1979
5,0.07777870684036646,0.9756005056890013,0.9755589051047842,0.9755221820918487,0.9755363959669386,3.492495217106559,0.2425467407781708,0.2491071643074804,0.2404806929855454,0.23444230362826676,0,0,7910,1979
6,0.07988346603374477,0.9735777496839444,0.9735576123465386,0.9737067264804358,0.9736274038422952,3.5309142705165977,0.23799898938858008,0.241696470341242,0.23663377572293878,0.23325427760022696,0,0,7910,1979
